tax	1047-OV	1082-OV	1202-OV	1279-OV	1330-OV	464-OV	481-OV	579-OV	581-OV	599-OV	640-OV	644A-OV	645-OV	713-OV	726-OV	728-OV	730-OV	731-OV	732-OV	733-OV	739-OV	740-OV	788-OV	936-OV	total
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	23	0	8	49
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Globicatella	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	49
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Bogoriellaceae;Georgenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1	28	0	0	0	0	48
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Schlegelella	1	0	0	6	0	4	0	0	3	9	6	0	0	1	9	1	0	2	1	2	3	0	0	0	48
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Bradymonadales;Bradymonadaceae;Bradymonas	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	45
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Fuscovulum	0	0	0	0	0	0	0	0	0	0	33	0	12	0	0	0	0	0	0	0	0	0	0	0	45
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum	0	0	0	0	0	0	0	0	0	0	0	0	21	0	23	0	0	0	0	0	0	0	0	0	44
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	41
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax	0	0	9	8	0	0	0	1	3	2	0	2	3	1	2	2	0	2	0	3	0	0	2	1	41
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Oligella	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax	0	0	0	0	0	0	0	0	0	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	40
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Caulifigura	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	38
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Nevskiales;Steroidobacteraceae;Steroidobacter	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	24	0	0	38
Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavisolibacter	0	0	0	0	0	0	0	0	0	0	4	34	0	0	0	0	0	0	0	0	0	0	0	0	38
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	13	0	1	0	0	36
