genus,1062-MG,1082-MG,1202-MG,1313-MG,481-MG,482-MG,581-MG,640-MG,644A-MG,713-MG,726-MG,728-MG,729-MG,730-MG,731-MG,734-MG,741-MG,769-MG,778-MG,781-MG,809-MG,816-MG,817-MG,936-MG,total,superkingdom,kingdom,phylum,class,order,family,tax
Mesorhizobium,0,0,1,0,0,0,0,0,0,0,0,0,40,1,0,0,0,73,0,0,186,0,1,0,302,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium
Methylorubrum,0,0,0,0,0,0,1,40,145,0,1,0,0,35,0,0,59,0,0,0,0,0,2,0,283,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum
Facklamia,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,261,0,274,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia
Gemella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,173,0,270,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillales_Incertae_sedis,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella
Reyranella,49,0,0,0,0,0,0,0,15,0,0,0,152,0,0,0,49,0,0,0,0,0,0,0,265,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Reyranellaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Reyranellaceae;Reyranella
Vogesella,0,19,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,115,263,Bacteria,none,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Vogesella
Neisseria,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,255,0,0,0,0,0,0,0,261,Bacteria,none,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria
Elusimicrobium,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,Bacteria,none,Elusimicrobia,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Bacteria;none;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium
Dietzia,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,50,13,0,0,32,9,0,141,0,251,Bacteria,none,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Bacteria;none;Actinobacteria;Actinomycetia;Corynebacteriales;Dietziaceae;Dietzia
Caenibaculum,3,0,5,0,0,3,0,0,9,0,1,9,7,8,0,31,15,5,0,22,11,11,106,1,247,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Caenibaculum
Neobacillus,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,59,55,92,0,0,246,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Neobacillus
Parapedobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,246,Bacteria,none,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Bacteria;none;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Parapedobacter
Nesterenkonia,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,99,18,0,0,52,0,0,48,0,234,Bacteria,none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Nesterenkonia
Paenibacillus,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,46,0,1,0,0,150,0,226,Bacteria,none,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Methylobacterium,0,0,0,0,0,0,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,209,0,223,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium
Citricoccus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,210,Bacteria,none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Citricoccus
Janibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,25,0,0,0,0,0,0,170,0,206,Bacteria,none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Janibacter
Pontibacter,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,39,0,0,152,0,205,Bacteria,none,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Bacteria;none;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Pontibacter
Massilia,0,29,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,142,0,0,203,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
Enteractinococcus,0,0,0,0,0,0,5,0,0,0,0,71,0,0,0,15,0,0,0,32,0,0,72,0,195,Bacteria,none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Enteractinococcus
Marinilactibacillus,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,113,0,63,0,0,0,0,185,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Marinilactibacillus
Alkalibacterium,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,126,0,46,1,0,0,0,181,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium
Salinimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,180,Bacteria,none,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bacteria;none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salinimicrobium
Aquariibacter,0,0,0,0,0,0,0,56,0,0,0,0,0,56,0,0,66,0,0,0,0,0,0,0,178,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_Incertae_sedis,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Aquariibacter
Bartonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,171,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bartonellaceae;Bartonella
Alishewanella,0,0,0,0,0,0,0,0,0,0,3,0,0,94,0,0,15,0,0,0,0,0,0,53,165,Bacteria,none,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alishewanella
Cupriavidus,28,1,11,0,0,9,0,3,5,5,1,10,1,4,0,4,9,2,0,14,11,7,12,23,160,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus
Gemmobacter,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,106,0,158,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter
Moraxella,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,33,22,0,34,0,24,22,0,148,Bacteria,none,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella
Ferruginibacter,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,147,Bacteria,none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter
Jeotgalicoccus,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,132,1,0,144,Bacteria,none,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus
Vicinamibacter,0,4,1,0,0,0,0,3,33,81,0,0,0,0,0,0,0,20,0,0,0,0,0,0,142,Bacteria,none,Acidobacteria,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Bacteria;none;Acidobacteria;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter
Ramlibacter,0,0,1,0,0,33,0,2,2,0,0,1,0,0,0,0,3,0,0,3,0,0,0,94,139,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter
