genus,1047-OV,1082-OV,1202-OV,1279-OV,1330-OV,464-OV,481-OV,482-OV,579-OV,581-OV,599-OV,640-OV,644A-OV,645-OV,713-OV,726-OV,728-OV,730-OV,731-OV,732-OV,733-OV,739-OV,740-OV,788-OV,936-OV,total,superkingdom,kingdom,phylum,class,order,family,tax
Fermentimonas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,13,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Fermentimonas
Desulfobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,Bacteria,none,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Bacteria;none;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacter
Oculatella,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,Bacteria,none,Cyanobacteria,Cyanobacteria_Incertae_sedis,Pseudanabaenales,Oculatellaceae,Bacteria;none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Pseudanabaenales;Oculatellaceae;Oculatella
Actinopolymorpha,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Bacteria,none,Actinobacteria,Actinomycetia,Propionibacteriales,Actinopolymorphaceae,Bacteria;none;Actinobacteria;Actinomycetia;Propionibacteriales;Actinopolymorphaceae;Actinopolymorpha
Paraphocaeicola,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,12,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Paraphocaeicola
Lederbergia,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,12,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lederbergia
Nitrosospira,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,7,0,0,0,0,0,1,0,0,12,Bacteria,none,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira
Streptomyces,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Bacteria,none,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Bacteria;none;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces
Variibacter,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,12,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Variibacter
Leptospira,0,0,0,0,0,4,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,12,Bacteria,none,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Bacteria;none;Spirochaetes;Spirochaetia;Leptospirales;Leptospiraceae;Leptospira
Byssovorax,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Bacteria,none,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Bacteria;none;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Byssovorax
Iphinoe,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,12,Bacteria,none,Cyanobacteria,Cyanobacteria_Incertae_sedis,Nostocales,Stigonemataceae,Bacteria;none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Nostocales;Stigonemataceae;Iphinoe
Halobacteriovorax,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,12,Bacteria,none,Proteobacteria,Oligoflexia,Bacteriovoracales,Halobacteriovoraceae,Bacteria;none;Proteobacteria;Oligoflexia;Bacteriovoracales;Halobacteriovoraceae;Halobacteriovorax
Falsirhodobacter,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Falsirhodobacter
Xylophilus,2,0,1,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,2,1,12,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_Incertae_sedis,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Xylophilus
Mediterranea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Mediterranea
Gudongella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,Bacteria,none,Firmicutes,Tissierellia,Tissierellales,Tissierellaceae,Bacteria;none;Firmicutes;Tissierellia;Tissierellales;Tissierellaceae;Gudongella
Irregularibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Irregularibacter
