tax	1210-MG	1211-MG	1212-MG	1213-MG	1214-MG	1215-MG	1216-MG	1217-MG	551-MG	552-MG	553-MG	554-MG	555-MG	556-MG	557-MG	900-MG	901-MG	902-MG	903-MG	904-MG	905-MG	906-MG	907-MG	total
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Alkalihalobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	85
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium	15	2	6	17	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	9	82
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Neobacillus	0	1	2	0	0	71	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	78
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium	0	0	12	0	0	0	1	20	0	0	0	0	16	26	0	0	0	0	0	0	1	0	0	76
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Aliicoccus	0	0	0	0	54	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	9	0	0	74
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	43	0	21	0	0	74
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Chryseomicrobium	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Tsuneonella	34	10	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Janibacter	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	60	0	0	0	1	2	0	1	65
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium	26	12	0	8	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	58
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Actinoplanes	0	26	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas	0	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	56
